order,priority,id,workType,destination,sendTiming,dueTiming,messageSubject,messageFile,startUrlOrCommand,packetOrArtifact,completedEvidenceTarget
1,P0,BETA-HR-001,beta-human-review,Athens,send overdue by 13 days,review overdue by 10 days,[Globe.travel beta] BETA-HR-001 Athens review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-001-athens.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+restful+5-day+Athens+trip+for+a+couple+with+culture%2C+food%2C+and+recovery+time.,qa/beta-human-review-packets-2026-05-21/BETA-HR-001-athens.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-001-athens.json
2,P0,BETA-HR-002,beta-human-review,Lisbon,send overdue by 13 days,review overdue by 10 days,[Globe.travel beta] BETA-HR-002 Lisbon review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-002-lisbon.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Lisbon+trip+for+friends+who+want+food%2C+viewpoints%2C+and+nightlife.,qa/beta-human-review-packets-2026-05-21/BETA-HR-002-lisbon.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-002-lisbon.json
3,P0,BETA-HR-003,beta-human-review,Barcelona,send overdue by 13 days,review overdue by 10 days,[Globe.travel beta] BETA-HR-003 Barcelona review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-003-barcelona.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+budget+3-day+Barcelona+beach+and+neighborhood+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-003-barcelona.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-003-barcelona.json
4,P0,BETA-HR-004,beta-human-review,Paris,send overdue by 13 days,review overdue by 10 days,[Globe.travel beta] BETA-HR-004 Paris review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-004-paris.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+premium+4-day+Paris+trip+for+a+couple+with+restaurants%2C+art%2C+and+romantic+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-004-paris.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-004-paris.json
5,P0,BETA-HR-005,beta-human-review,New York,send overdue by 13 days,review overdue by 10 days,[Globe.travel beta] BETA-HR-005 New York review due 2026-05-25,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-005-new-york.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+New+York+trip+for+repeat+visitors+who+want+neighborhoods%2C+food%2C+and+fresh+ideas.,qa/beta-human-review-packets-2026-05-21/BETA-HR-005-new-york.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-005-new-york.json
6,P0,BETA-HR-006,beta-human-review,Istanbul,send overdue by 9 days,review overdue by 8 days,[Globe.travel beta] BETA-HR-006 Istanbul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-006-istanbul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Istanbul+history+and+markets+trip+for+a+small+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-006-istanbul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-006-istanbul.json
7,P0,BETA-HR-007,beta-human-review,Seoul,send overdue by 9 days,review overdue by 8 days,[Globe.travel beta] BETA-HR-007 Seoul review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-007-seoul.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Seoul+food+and+shopping+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-007-seoul.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-007-seoul.json
8,P0,BETA-HR-008,beta-human-review,Bangkok,send overdue by 9 days,review overdue by 8 days,[Globe.travel beta] BETA-HR-008 Bangkok review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-008-bangkok.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Bangkok+trip+with+temples%2C+street+food%2C+and+easy+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-008-bangkok.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-008-bangkok.json
9,P0,BETA-HR-009,beta-human-review,Marrakech,send overdue by 9 days,review overdue by 8 days,[Globe.travel beta] BETA-HR-009 Marrakech review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-009-marrakech.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Marrakech+trip+around+markets%2C+riads%2C+food%2C+and+culture.,qa/beta-human-review-packets-2026-05-21/BETA-HR-009-marrakech.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-009-marrakech.json
10,P0,BETA-HR-010,beta-human-review,Cape Town,send overdue by 9 days,review overdue by 8 days,[Globe.travel beta] BETA-HR-010 Cape Town review due 2026-05-27,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-010-cape-town.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Cape+Town+outdoors+and+food+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-010-cape-town.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-010-cape-town.json
11,P0,BETA-HR-011,beta-human-review,Sydney,send overdue by 7 days,review overdue by 6 days,[Globe.travel beta] BETA-HR-011 Sydney review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-011-sydney.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Sydney+trip+for+beaches%2C+neighborhoods%2C+and+easy+food+stops.,qa/beta-human-review-packets-2026-05-21/BETA-HR-011-sydney.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-011-sydney.json
12,P0,BETA-HR-012,beta-human-review,Vancouver,send overdue by 7 days,review overdue by 6 days,[Globe.travel beta] BETA-HR-012 Vancouver review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-012-vancouver.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Vancouver+outdoors+and+food+trip+for+a+mixed+group.,qa/beta-human-review-packets-2026-05-21/BETA-HR-012-vancouver.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-012-vancouver.json
13,P0,BETA-HR-013,beta-human-review,Rio de Janeiro,send overdue by 7 days,review overdue by 6 days,[Globe.travel beta] BETA-HR-013 Rio de Janeiro review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-013-rio-de-janeiro.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Rio+beach+and+nightlife+trip+for+friends.,qa/beta-human-review-packets-2026-05-21/BETA-HR-013-rio-de-janeiro.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-013-rio-de-janeiro.json
14,P0,BETA-HR-014,beta-human-review,Reykjavik,send overdue by 7 days,review overdue by 6 days,[Globe.travel beta] BETA-HR-014 Reykjavik review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-014-reykjavik.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+4-day+Reykjavik+outdoors+trip+with+weather-safe+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-014-reykjavik.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-014-reykjavik.json
15,P0,BETA-HR-015,beta-human-review,Crete,send overdue by 7 days,review overdue by 6 days,[Globe.travel beta] BETA-HR-015 Crete review due 2026-05-29,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-015-crete.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Crete+family+beach+trip+with+culture+and+relaxed+travel+days.,qa/beta-human-review-packets-2026-05-21/BETA-HR-015-crete.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-015-crete.json
16,P0,BETA-HR-016,beta-human-review,Singapore,send overdue by 3 days,review overdue by 2 days,[Globe.travel beta] BETA-HR-016 Singapore review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-016-singapore.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+Singapore+family+food+trip+with+easy+transit+and+heat-aware+pacing.,qa/beta-human-review-packets-2026-05-21/BETA-HR-016-singapore.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-016-singapore.json
17,P0,BETA-HR-017,beta-human-review,Dubai,send overdue by 3 days,review overdue by 2 days,[Globe.travel beta] BETA-HR-017 Dubai review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-017-dubai.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+3-day+luxury+Dubai+family+trip+with+indoor+options+and+clear+logistics.,qa/beta-human-review-packets-2026-05-21/BETA-HR-017-dubai.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-017-dubai.json
18,P0,BETA-HR-018,beta-human-review,Madrid and Seville,send overdue by 3 days,review overdue by 2 days,[Globe.travel beta] BETA-HR-018 Madrid and Seville review due 2026-06-02,qa/beta-human-review-dispatch-outbox-all-wave-2026-05-21/beta-hr-018-madrid-and-seville.txt,https://globe-travel-two.vercel.app/chat?q=Plan+a+5-day+Madrid+and+Seville+trip+with+food%2C+culture%2C+and+intercity+flow.,qa/beta-human-review-packets-2026-05-21/BETA-HR-018-madrid-and-seville.md,qa/beta-human-review-submissions-2026-05-21/BETA-HR-018-madrid-and-seville.json
